# UI text and content strings (key,value). '#' starts a comment.
# '\n' in a value becomes a newline. Templates use Go text/template ({{.Field}}).

# --- Title ---
story-1,-
title-start,Click to Start

# --- Opening cinematic ---
op-aliens,"The aliens are attacking! Ebitank, launch!"
op-doctor,It's dangerous to go alone! Take this.
op-hint-advance,Click to continue
op-hint-skip,Hold Space to skip

# --- In-game HUD ---
hud-pwr,PWR
hud-pwr-mult,{{.Mult}} MW
hud-stats,Lv {{.Level}}  Spd {{.Spd}}  Fire x{{.Fire}}  Nippers {{.Nippers}}
hud-hint,Space: pause & cut turret tiles
hud-time-kills,Time {{.Min}}:{{.Sec}}  Kills {{.Kills}}

# --- Game over / victory ---
game-over,GAME OVER
click-continue,Click to continue
mission-complete,MISSION COMPLETE
victory-detail,Click to continue

# --- Level-up offers ---
levelup-title,LEVEL UP — Lv {{.Level}}
levelup-instruction,"Well done — take this!"
offer-add,Add
offer-upgrade,Upgrade
offer-nippers,+{{.N}} Nippers
offer-nippers-desc,Used to cut away unwanted parts.
comp-capacitor,Capacitor
comp-repair-unit,Repair Unit
comp-armor,Armor

# --- Pause / cut view ---
pause-title,PAUSED — click a tile to cut  (Nippers {{.Nippers}})
pause-help,Cutting disconnects the tile and everything downstream. Space resumes.
comp-capacitor-desc,Slightly raises power.
comp-repair-unit-desc,Repairs 1 HP every few seconds.
comp-armor-desc,Reduces the damage taken from each hit (at least 1 still lands).
comp-wire-name,Wire
comp-wire-desc,A conductor that merely carries power and does nothing on its own.

# --- Result screen ---
result-win,You defeated the aliens and won your freedom
result-lose-1,"Defeated by the aliens, you lost your freedom."
result-lose-2,"We toil four hours a day, with only four days off a week"
btn-return,Back to Opening
btn-retry,Retry
btn-accept,Accept the outcome
result-earned,Earned {{.N}}
result-total,Total {{.N}}

# --- Workshop (persistent upgrades) ---
workshop-title,WORKSHOP
workshop-start,Start Run
workshop-back,Back
workshop-maxed,MAX
meta-hp-name,Max HP
meta-armor-name,Armor
meta-regen-name,Repair
meta-speed-name,Speed
meta-attack-name,Attack

# --- Language switcher ---
lang-current,Current Language: {{.Lang}}

# --- Weapon names ---
weapon-cannon-name,Cannon
weapon-shotgun-name,Shotgun
weapon-sniper-name,Sniper
weapon-laser-name,Laser
weapon-gatling-name,Gatling
weapon-grenade-name,Grenade
weapon-ciws-name,CIWS
weapon-missile-name,Missile

# --- Weapon descriptions ---
weapon-cannon-desc,Fires a high-damage shell at the nearest enemy.
weapon-shotgun-desc,Sprays short-range pellets at the nearest enemy.
weapon-sniper-desc,"Delivers a fast, long-range shot."
weapon-laser-desc,Fires a piercing beam attack.
weapon-gatling-desc,Rapidly streams a fast barrage straight ahead.
weapon-grenade-desc,Lobs a shell outward that explodes where it lands.
weapon-ciws-desc,"A point-defence weapon that holds fire until enemies close in, then unleashes a rapid burst."
weapon-missile-desc,A homing missile that explodes on impact.

# --- Doctor name templates (title + random letter via {{.Alphabet}}) ---
doctor-name-doctor,Doctor {{.Alphabet}}
doctor-name-professor,Professor {{.Alphabet}}
doctor-name-doktor,Doktor {{.Alphabet}}
doctor-name-instructor,Instructor {{.Alphabet}}
doctor-name-master,Master {{.Alphabet}}

# --- Junk device names (inert novelties) ---
junk-unusual-banana,Unusual Banana
junk-electric-fan,Electric Fan
junk-calculator,Calculator
junk-wi-fi-antenna,Wi-Fi Antenna
junk-five-storied-pagoda,Five-storied Pagoda
junk-fax-machine,Fax Machine
junk-lava-lamp,Lava Lamp
junk-oil-heater,Oil Heater
junk-rice-cooker,Rice Cooker
junk-modern-art-fountain,Modern Art Fountain
junk-concept,Concept
junk-nft-nuclear-missile,NFT Nuclear Missile
junk-horns,Horns
junk-high-end-gpu,High-End GPU

# --- Junk device names (will emit something later) ---
junk-balloon-service-unit,Balloon Service Unit
junk-coffee-maker,Coffee Maker
junk-toaster,Toaster
junk-music-box,Music Box
junk-rubber-duck-dispenser,Rubber Duck Dispenser
junk-fireworks,Fireworks

# --- Junk device descriptions (placeholder copy; refine later) ---
junk-unusual-banana-desc,Worth 6.2 million dollars.
junk-electric-fan-desc,Keeps the folks around the Ebitank cool.
junk-calculator-desc,Quick arithmetic.
junk-wi-fi-antenna-desc,Watch videos in comfort.
junk-five-storied-pagoda-desc,"Its structure represents earth, water, fire, wind, and void."
junk-fax-machine-desc,Sends and receives paper by phone number.
junk-lava-lamp-desc,Sets a stylish mood.
junk-oil-heater-desc,Not much use in a wooden building.
junk-rice-cooker-desc,A top-tier model that cooks rice with an iron pot and induction heating.
junk-modern-art-fountain-desc,An avant-garde work of art.
junk-concept-desc,The essential nature of things.
junk-nft-nuclear-missile-desc,Ownership of a nuclear missile. Launch rights not included.
junk-horns-desc,A must-have for any hero mecha.
junk-high-end-gpu-desc,A part for running 3D games at 60 FPS.
junk-balloon-service-unit-desc,A machine that floats balloons into the sky.
junk-coffee-maker-desc,Have a cup once the battle is over.
junk-toaster-desc,Toasts everything to a golden brown.
junk-music-box-desc,"A soothing, comforting melody."
junk-rubber-duck-dispenser-desc,An adorable duck figurine.
junk-fireworks-desc,Sets off skyrocket fireworks.

# --- Boss names ---
boss-prototype-hauler,Muscle Squid
boss-siege-engine,Rocket Nautilus
boss-the-disconnector,Death Sea Slug XVI
