# UIテキストとコンテンツ文字列 (key,value)。'#' で始まる行はコメント。
# value 内の '\n' は改行になる。テンプレートは Go text/template ({{.Field}})。

# --- タイトル ---
story-1,-
title-start,クリックでスタート

# --- オープニング ---
op-aliens,エイリアンが攻めてきたぞ！ エビタンク発進！
op-doctor,一人では危険じゃ、これを授けよう
op-hint-advance,クリックで次へ
op-hint-skip,Space長押しでスキップ

# --- ゲーム中HUD ---
hud-pwr,電力
hud-pwr-mult,{{.Mult}} MW
hud-stats,Lv {{.Level}}  速度 {{.Spd}}  発射 x{{.Fire}}  ニッパー {{.Nippers}}
hud-hint,Space：ポーズしてタイルを切断
hud-time-kills,時間 {{.Min}}:{{.Sec}}  撃破 {{.Kills}}

# --- ゲームオーバー / 勝利 ---
game-over,ゲームオーバー
click-continue,クリックで続行
mission-complete,ミッションクリア！
victory-detail,クリックで続行

# --- レベルアップ提案 ---
levelup-title,レベルアップ — Lv {{.Level}}
levelup-instruction,「よくやった、これを授けよう！」
offer-add,追加
offer-upgrade,強化
offer-nippers,ニッパー +{{.N}}
offer-nippers-desc,不要なパーツを切り離すのに使う。
comp-capacitor,キャパシタ
comp-repair-unit,修理装置
comp-armor,増加装甲

# --- ポーズ / 切断ビュー ---
pause-title,ポーズ中 — タイルをクリックして切断  (ニッパー {{.Nippers}})
pause-help,切断するとそのタイルと下流すべてが外れる。Spaceで再開。
comp-capacitor-desc,電力を少し高める
comp-repair-unit-desc,数秒ごとにHPを1回復
comp-armor-desc,被弾時のダメージを軽減する（最低1は受ける）
comp-wire-name,ワイヤー
comp-wire-desc,電力を通すだけで単体では何もしない導線

# --- リザルト画面 ---
result-win,エイリアンを倒し、自由を手に入れた
result-lose-1,エイリアンに敗北し、自由を失った。
result-lose-2,我々は毎日4時間も労働し、週の休みは4日しかない
btn-return,オープニングに戻る
btn-retry,リトライ
btn-accept,結果を受け入れる
result-earned,獲得 {{.N}}
result-total,所持 {{.N}}

# --- ワークショップ（永続強化） ---
workshop-title,ワークショップ
workshop-start,出撃
workshop-back,戻る
workshop-maxed,MAX
meta-hp-name,最大HP
meta-armor-name,装甲
meta-regen-name,修理
meta-speed-name,速度
meta-attack-name,攻撃力

# --- 言語切替 ---
lang-current,現在の言語: {{.Lang}}

# --- 武器名 ---
weapon-cannon-name,キャノン
weapon-shotgun-name,ショットガン
weapon-sniper-name,スナイパー
weapon-laser-name,レーザー
weapon-gatling-name,ガトリング
weapon-grenade-name,グレネード
weapon-ciws-name,CIWS
weapon-missile-name,ミサイル

# --- 武器説明 ---
weapon-cannon-desc,最も近い敵にダメージの高い砲弾を撃つ
weapon-shotgun-desc,最も近い敵に近距離の散弾をばらまく
weapon-sniper-desc,高速・長射程の一撃を与える
weapon-laser-desc,貫通するビーム攻撃を行う
weapon-gatling-desc,前方へ高速の弾幕を連射する
weapon-grenade-desc,外側へ砲弾を放り、着弾点で爆発する
weapon-ciws-desc,敵が近づくまで撃たず、一気に連射する近接防御兵器
weapon-missile-desc,着弾で爆発する誘導ミサイル

# --- 博士名テンプレート（肩書き＋ランダムなアルファベット {{.Alphabet}}） ---
doctor-name-doctor,ドクター{{.Alphabet}}
doctor-name-professor,プロフェッサー{{.Alphabet}}
doctor-name-doktor,ドクトル{{.Alphabet}}
doctor-name-instructor,{{.Alphabet}}教授
doctor-name-master,老師{{.Alphabet}}
# --- ジャンク装置名（何も出ない） ---
junk-unusual-banana,Unusual Banana
junk-electric-fan,扇風機
junk-calculator,電卓
junk-wi-fi-antenna,Wi-Fiアンテナ
junk-five-storied-pagoda,五重塔
junk-fax-machine,FAX
junk-lava-lamp,ラバランプ
junk-oil-heater,オイルヒーター
junk-rice-cooker,炊飯器
junk-modern-art-fountain,『泉』
junk-concept,概念
junk-nft-nuclear-missile,NFT核ミサイル
junk-horns,ツノ
junk-high-end-gpu,ハイエンドGPU

# --- ジャンク装置名（あとで何かが出る） ---
junk-balloon-service-unit,風船サービス装置
junk-coffee-maker,コーヒーメーカー
junk-toaster,トースター
junk-music-box,オルゴール
junk-rubber-duck-dispenser,ラバーダック設置装置
junk-fireworks,花火

# --- ジャンク説明（仮テキスト・後で調整） ---
junk-unusual-banana-desc,620万ドルの価値がある
junk-electric-fan-desc,エビタンクの周りにいる人が涼しくなる
junk-calculator-desc,素早い四則演算
junk-wi-fi-antenna-desc,動画を快適に視聴可能
junk-five-storied-pagoda-desc,構造が地、水、火、風、空を表す
junk-fax-machine-desc,電話番号で紙を送受信できる
junk-lava-lamp-desc,おしゃれな空間を演出
junk-oil-heater-desc,木造建築ではあまり意味がない
junk-rice-cooker-desc,鉄釜とIHで炊き上げる最高峰モデル
junk-modern-art-fountain-desc,前衛的な芸術作品
junk-concept-desc,物事の本質の部分
junk-nft-nuclear-missile-desc,核ミサイルの所有権。発射権はない
junk-horns-desc,主人公メカには必須
junk-high-end-gpu-desc,3Dゲームを60FPSで動かすための部品
junk-balloon-service-unit-desc,風船を空に飛ばす機械
junk-coffee-maker-desc,戦いが終わったら飲もう
junk-toaster-desc,こんがりと焼き上げる
junk-music-box-desc,心地よい癒しの音色
junk-rubber-duck-dispenser-desc,愛らしいアヒルの模型
junk-fireworks-desc,打ち上げ花火を放出

# --- ボス名 ---
boss-prototype-hauler,マッスル・イカ
boss-siege-engine,ロケット・オウムガイ
boss-the-disconnector,デス・ウミウシ16世
